date,type,category,index
2023-11-01,output,sheep_and_lambs_clean,123.18093062682765
2023-11-01,output,ewes_and_rams,106.43332033605274
2023-11-01,output,all_poultry,116.89716949878267
2023-11-01,output,chickens,119.76584729084058
2023-11-01,output,turkeys,100
2023-11-01,output,animal_products,136.9248403727452
2023-11-01,output,milk,132.1944624734884
2023-11-01,output,eggs,168.24015544766183
2023-11-01,output,intensive_eggs,169.6475136366617
2023-11-01,output,free_range_eggs,167.61918998107788
2023-11-01,output,wool_clip,169.0322580645161
2023-11-01,input,all_agricultural_inputs,130.7184401101539
2023-11-01,input,all_goods_and_services_currently_consumed_in_agriculture,131.363459542465
2023-11-01,input,seeds_input,106.23942155360436
2023-11-01,input,energy_and_lubricants,162.65250714879383
2023-11-01,input,electricity,162.1204049014385
2023-11-01,input,fuels_for_heating,172.47534053546264
2023-11-01,input,motor_fuels,161.48159566686508
2023-11-01,input,fertilisers_and_soil_improvers,162.3406375638764
2023-11-01,input,straight_fertilisers,162.59678674540197
2023-11-01,input,straight_fertilisers_nitrogenous,161.68225459434436
2023-11-01,input,straight_fertilisers_phosphatic,173.36211885733607
2023-11-01,input,straight_fertilisers_potassic,165.6282220019427
2023-11-01,input,compound_fertilisers,174.88947314249228
2023-11-01,input,other_fertilisers_and_soil_improvers,115.21377851639218
2023-11-01,input,plant_protection_products,128.16160272834165
2023-11-01,input,fungicides,111.59841288368106
2023-11-01,input,insecticides,111.2249738793296
2023-11-01,input,herbicides,117.28824408182321
2023-11-01,input,other_plant_protection_products,260.928382795125
2023-11-01,input,veterinary_services,105.71982018503928
2023-11-01,input,animal_feedingstuffs,132.38239737986314
2023-11-01,input,straight_feedingstuffs,128.1605265114311
2023-11-01,input,cereal_and_milling_by_products,117.53812741723587
2023-11-01,input,feed_wheat,115.15355522441699
2023-11-01,input,feed_barley,128.0140267342047
2023-11-01,input,feed_oats,138.65214977186778
2023-11-01,input,oilcakes,142.10878074028236
2023-11-01,input,soya_bean_meal,147.91851930678973
2023-11-01,input,sunflower_seed_meal,97.13869772803919
2023-11-01,input,rape_seed_meal,134.35987624226374
2023-11-01,input,products_of_animal_origin_incl_white_fish_meal,119.25909322934689
2023-11-01,input,other_straights,125.46653470929593
2023-11-01,input,field_peas,114.7563810120598
2023-11-01,input,field_beans,106.3963419136889
2023-11-01,input,soya_beans,140.0907067063818
2023-11-01,input,compound_feedingstuffs,134.09775020599542
2023-11-01,input,compound_feedingstuffs_for_cattle_and_calves,136.17773628275887
2023-11-01,input,compound_feedingstuffs_for_pigs,127.89452595720208
2023-11-01,input,compound_feedingstuffs_for_poultry,134.437798227183
2023-11-01,input,compound_feedingstuffs_for_sheep,137.46836137657652
2023-11-01,input,maintenance_of_materials,120.8174863324107
2023-11-01,input,maintenance_of_buildings,136.529612587205
2023-11-01,input,other_goods_and_services,117.86461659866825
2023-11-01,input,goods_and_services_contributing_to_investment,127.81415767764065
2023-11-01,input,materials,121.53610487535752
2023-11-01,input,machinery_and_other_equipment,123.5908346209063
2023-11-01,input,plant_and_machinery_for_cultivation,129.99088422971744
2023-11-01,input,farm_machinery_and_installations,99.98537857786197
2023-11-01,input,transport_equipment,119.89856585874998
2023-11-01,input,tractors,120.94054310822577
2023-11-01,input,other_vehicles,115.63290384172309
2023-11-01,input,buildings,141.29096612115313
2023-10-01,output,all_agricultural_outputs,127.68426851230038
2023-10-01,output,crop_products,127.22642697252641
2023-10-01,output,cereals,128.8481815921716
2023-10-01,output,wheat,119.8105260187719
2023-10-01,output,wheat_feeding,116.63980361803257
2023-10-01,output,wheat_breadmaking,138.46087095715248
2023-10-01,output,wheat_other_milling,116.79763422589527
2023-10-01,output,barley,142.1504158587174
2023-10-01,output,barley_feeding,128.83700500524793
2023-10-01,output,barley_malting,170.59563819181122
2023-10-01,output,oats,147.70904619880673
2023-10-01,output,oats_milling,152.75177717411174
2023-10-01,output,oats_feeding,138.27428095883803
2023-10-01,output,potatoes,181.5986441016983
2023-10-01,output,industrial_crops,111.90701220976389
2023-10-01,output,oilseed_rape_non_set_aside,107.56479531092592
2023-10-01,output,sugar_beet,131.412837039082
2023-10-01,output,forage_plants,84.68947193623383
2023-10-01,output,straw,84.68947193623383
2023-10-01,output,fresh_vegetables,135.16162396537354
2023-10-01,output,cauliflowers,145.42793166208276
2023-10-01,output,tomatoes,173.54520664960086
2023-10-01,output,cabbages,119.93555513107182
2023-10-01,output,lettuce,125.5494838063787
2023-10-01,output,carrots,107.28185226412793
2023-10-01,output,onions,149.76600582635064
2023-10-01,output,beans_green,100.8949926886183
2023-10-01,output,mushrooms,109.52432359748343
2023-10-01,output,fresh_fruit,113.43424935678404
2023-10-01,output,dessert_apples,114.2536294235744
2023-10-01,output,cooking_apples,78.1247424738304
